longitude,latitude,mode,mode_name,mode_num
123.417133,41.868337,地铁,三台子(地铁站),2
123.40308,41.917793,地铁,航空航天大学(地铁站),2
123.453579,41.743061,地铁,奥体中心(地铁站),2-9
123.396798,41.793772,地铁,沈阳站(地铁站),1
123.435977,41.817355,地铁,沈阳北站(地铁站),2
123.305686,41.794186,地铁,于洪广场(地铁站),1
123.370794,41.794093,地铁,铁西广场(地铁站),1-9
123.504308,41.80812,地铁,黎明广场(地铁站),1
123.461001,41.801344,地铁,中街(地铁站),1
123.432863,41.792236,地铁,青年大街(地铁站),1-2
123.434229,41.804497,地铁,市府广场(地铁站),2
123.419906,41.789396,地铁,南市场(地铁站),1
123.435871,41.784718,地铁,青年公园(地铁站),2
123.447255,41.796947,地铁,怀远门(地铁站),1
123.438257,41.811745,地铁,金融中心(地铁站),2
123.406644,41.789528,地铁,太原街(地铁站),1
123.435319,41.773193,地铁,工业展览馆(地铁站),2
123.429258,41.822728,地铁,岐山路(地铁站),2
123.470596,41.802831,地铁,东中街(地铁站),1
123.380508,41.796508,地铁,云峰北街(地铁站),1
123.429047,41.833682,地铁,中医药大学(地铁站),2
123.435895,41.760047,地铁,市图书馆(地铁站),2
123.383861,41.81322,地铁,重型文化广场(地铁站),9
123.378755,41.804706,地铁,北二路(地铁站),9
123.386749,41.821366,地铁,皇姑屯(地铁站),9
123.42424,41.839395,地铁,北陵公园(地铁站),2
123.441016,41.753209,地铁,五里河(地铁站),2
123.488594,41.808405,地铁,滂江街(地铁站),1
123.380562,41.768483,地铁,胜利南街(地铁站),9
123.365836,41.787634,地铁,兴华公园(地铁站),9
123.418892,41.847476,地铁,新乐遗址(地铁站),2
123.36126,41.781587,地铁,沈辽路(地铁站),9
123.388938,41.842252,地铁,怒江公园(地铁站),9
123.356113,41.800291,地铁,保工街(地铁站),1
123.358797,41.772247,地铁,滑翔(地铁站),9
123.418239,41.855421,地铁,陵西(地铁站),2
123.467941,41.743596,地铁,天成街(地铁站),9
123.441295,41.734121,地铁,彩霞街(地铁站),9
123.343559,41.803726,地铁,启工街(地铁站),1
123.430201,41.731686,地铁,金阳大街(地铁站),9
123.421603,41.729802,地铁,榆树台(地铁站),9
123.456491,41.731345,地铁,营盘街(地铁站),2
123.485068,41.741192,地铁,朗日街(地铁站),9
