longitude,latitude,laci
123.4159698,41.80778122,16789-67567924
123.4396362,41.80488968,16789-67200820
123.4312515,41.80846024,16789-67475508
123.4372406,41.7996788,16640-67195659
123.4344177,41.81195831,16789-67314199
123.4344177,41.81195831,16789-67313941
123.4121704,41.8152504,16789-67681055
123.4159698,41.80778122,16789-67567935
123.411911,41.81045914,16789-2614580
123.411911,41.81045914,16789-2614540
123.4159698,41.80778122,16789-67567923
123.4159698,41.80778122,16789-67567925
123.4159698,41.80778122,16789-67567884
123.4421463,41.8010788,16407-67197709
123.4359436,41.80569839,16789-67483956
123.4290314,41.81130981,16789-61397124
123.4128571,41.80469894,16789-67436852
123.4312515,41.80846024,16789-67475468
123.4320221,41.80392075,16789-67494925
123.4396362,41.80488968,16789-67200780
123.4344177,41.81195831,16789-67314198
123.4290314,41.81130981,16789-61397123
123.4262009,41.81328964,16789-67572236
123.4166718,41.8102417,16789-67291445
123.4003677,41.79272079,16655-67444532
123.4503174,41.78078079,16882-67181885
123.4378204,41.75955963,16402-67480097
123.4326324,41.76139069,16402-67468576
123.4354477,41.75598145,16402-67470348
123.3458862,41.53760147,16648-67297037
123.3352509,41.53427887,16648-12614532
123.3370209,41.51704025,16648-235023372
123.3370209,41.51704025,16648-235023371
123.3214417,41.69348907,16650-67562253
123.4439316,41.78248978,16882-67182655
123.4499664,41.78374863,16882-67183167
123.4061203,41.79851151,16655-67440397
123.4430695,41.77388,16647-67179021
123.4503174,41.78078079,16882-67181875
123.319313,41.70632172,16650-12959619
123.3497086,41.71292114,16650-12599685
123.3864212,41.516819,16648-2263052
123.3683319,41.71891022,16650-67522337
123.4503174,41.78078079,16882-67181835
123.3478012,41.55226898,16648-67297844
123.3301086,41.53659821,16648-235240717
123.4499664,41.78374863,16882-67183166
123.45047,41.77920914,16882-67181375
123.3372116,41.52492142,16648-54565704
123.3122177,41.56336975,16648-2192435
123.3982468,41.78939819,16655-67447564
123.4412384,41.76774979,16647-60669837
123.4528885,41.70713043,16650-61344132
123.33004,41.57017899,16648-67726859
123.4351273,41.69882965,16650-67532556
123.3740692,41.51490021,16648-67719693
123.3301086,41.53659821,16648-235240716
123.3819504,41.79463959,16794-2165300
123.4087296,41.80886078,16789-67567628
123.4078903,41.79399109,16655-61396356
123.40905,41.79639816,16655-67441676
123.4118195,41.79265976,16655-67444277
123.4088821,41.7910614,16401-67446323
